id,type,label1,value1,label2,value2,label3,value3,label4,value4,label5,value5,date,observer,url,note,marker,lat,lon
ANSP01,*plot summary,"% carbon, 0-10 cm:",1.82,"% carbon, 10-25 cm:",3.29,"% carbon, 25-40 cm:",3.82,tons C/ha:,143.3,,,10/13/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp1 002.jpg,"T101 Stud transect. Firm loamy soil, abundant roots to 35 cm, ants plentiful.",small_yellow,46.75803,-106.69706
ANSP01,79ang,,,,,,,,,,,10/13/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp1 002.jpg,step back view,,,
ANSP01,79vert,,,,,,,,,,,10/13/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ansp1 001.jpg,hoop at center of carbon plot,,,
ANSP01,infiltration,minutes=,1,mm=,8,mm/min=,8,,,,,10/13/2013,Peter Donovan,,,,,
ANSP01,map,,,,,,,,,,,10/13/2013,Peter Donovan,http://soilcarboncoalition.org/data/gras/as/ANSP1map.jpg,,,,
ANSP01,minidisk infiltration,tension (cm)=,1,5 minutes (ml)=,7,,,,,,,10/13/2013,Peter Donovan,,At 2 cm depth.,,,
ANSP01A,"CN analysis, 8 composited probe samples",top(cm)=,0,bottom(cm)=,10,%C=,1.820586205,%N=,0.146802142,C/N=,12.4016324,10/13/2013,"Peter Donovan, Craig Stubler at Cal Poly",,,,,
ANSP01A1,density,top(cm)=,4,bottom(cm)=,8,"dry wt, g=",256.1,cm3=,222.1,bulk density=,1.153084196,10/13/2013,Peter Donovan,,,,,
ANSP01B,"CN analysis, 8 composited probe samples",top(cm)=,10,bottom(cm)=,25,%C=,3.292140961,%N=,0.119595252,C/N=,27.52735503,10/13/2013,"Peter Donovan, Craig Stubler at Cal Poly",,Abundant carbonates.,,,
ANSP01B1,density,top(cm)=,14,bottom(cm)=,18,"dry wt, g=",296.2,cm3=,258.4,bulk density=,1.14628483,10/13/2013,Peter Donovan,,,,,
ANSP01C,"CN analysis, 8 composited probe samples",top(cm)=,25,bottom(cm)=,40,%C=,3.824745655,%N=,0.072488166,C/N=,52.76372469,10/13/2013,"Peter Donovan, Craig Stubler at Cal Poly",,Abundant carbonates.,,,
ANSP01C1,density,top(cm)=,28,bottom(cm)=,32,"dry wt, g=",244.7,cm3=,213.8,bulk density=,1.144527596,10/13/2013,Peter Donovan,,,,,
